adsh,Risk Factors,Label 1,Label 1 - details,Label 2,Label 2 - details
0001679268-23-000006,"Advancements in oilfield service technologies could have a material adverse effect on our business, financial condition, results of operations and cash flows.",liquidity risk,Cash Flow and Liquid Assets,,
0001679268-23-000006,"Our business depends upon our ability to obtain specialized equipment and parts from third-party suppliers, and we may be vulnerable to delayed deliveries and future price increases.",business risk,Business Operations and Viability,,
0001679268-23-000006,"Our failure to receive payment for contract change orders or adequately recover on claims brought by us against customers related to payment terms and costs could materially and adversely affect our financial position, results of operations and cash flows.",liquidity risk,Cash Flow and Liquid Assets,,
0001679268-23-000006,"We may not accurately estimate the costs associated with infrastructure services provided under fixed price contracts, which could have an adverse effect on our financial condition, results of operations and cash flows.",liquidity risk,Cash Flow and Liquid Assets,,
0001679268-23-000006,"We may be unable to obtain sufficient bonding capacity to support certain service offerings, and the need for performance and surety bonds could reduce availability under our credit facility.",credit risk,Debt and Creditworthiness,,
0001679268-23-000006,"The nature of our infrastructure services business exposes us to potential liability for warranty claims and faulty engineering, which may reduce our profitability.",legal and regulatory risk,,,
0001679268-23-000006,The timing of new contracts and termination of existing contracts may result in unpredictable fluctuations in our cash flows and financial results.,liquidity risk,Cash Flow and Liquid Assets,,
0001679268-23-000006,"Delays and reductions in government appropriations can negatively impact energy infrastructure engineering, design, construction, maintenance and repair projects and may impair the ability of our energy infrastructure customers to timely pay for products or services provided or result in their insolvency or bankruptcy, any of which exposes us to credit risk of our infrastructure customers. ",credit risk,Debt and Creditworthiness,,
0001679268-23-000006,Outcomes of rate cases may impact the capital expenditure budgets of our infrastructure customers and may result in lower demand for our services.,business risk,Service,,
0001679268-23-000006,"An increase in the prices of certain materials used in our businesses could adversely affect our business, financial condition, results of operation and cash flows.",business risk,Product,,
0001679268-23-000006,Inaccuracies in estimates of volumes and qualities of our sand reserves could result in lower than expected sales and higher than expected production costs.,operational risk,,,
0001679268-23-000006,"As part of our natural sand proppant services business, we rely on third parties for raw materials and transportation, and the suspension or termination of our relationship with one or more of these third parties could adversely affect our business, financial conditions, results of operations and cash flows.",liquidity risk,Cash Flow and Liquid Assets,,
0001679268-23-000006,"Future performance of our natural sand proppant services business will depend on our ability to succeed in competitive markets, and on our ability to appropriately react to potential fluctuations in the demand for and supply of frac sand.",competition risk,,,
0001679268-23-000006,"Demand for our frac sand products could be reduced by changes in well stimulation processes and technologies, as well as changes in governmental regulations and other applicable law.",legal and regulatory risk,,,
0001679268-23-000006,We face distribution and logistics challenges in our business.,business risk,,,
0001679268-23-000006,Increasing transportation and related costs could have a material adverse effect on our business.,operational risk,Internal control,,
0001679268-23-000006,Diminished access to water and inability to secure or maintain necessary permits may adversely affect operations of our frac sand processing plants.,legal and regulatory risk,,,
0001679268-23-000006,"Similar to our natural sand proppant services, certain of our completion and production services, particularly our hydraulic fracturing services, are substantially dependent on the availability of water. Restrictions on our ability, or our customers?? ability, to obtain water may have an adverse effect on our business, financial condition, results of operations and cash flows.",liquidity risk,Cash Flow and Liquid Assets,,
0001679268-23-000006,"The customized nature, and remote location, of the modular camps that we provide and service present unique challenges that could adversely affect our ability to successfully operate our remote accommodations business.",business risk,,,
0001679268-23-000006,Health and food safety issues and food-borne illness concerns could adversely affect our remote accommodations business.,business risk,Health insurance,,
0001679268-23-000006,Development of permanent infrastructure in the Canadian oil sands region or other locations where we locate our remote accommodations could negatively impact our remote accommodations business.,business risk,,,
0001679268-23-000006,Revenue generated and expenses incurred by our remote accommodation business are denominated in the Canadian dollar and could be negatively impacted by currency fluctuations.,market risk,,,
0001679268-23-000006,"In the course of our business, we may become subject to lawsuits, indemnity or other claims, which could materially and adversely affect our business, results of operations and cash flows.",legal and regulatory risk,,,
0001679268-23-000006,We rely on a few key employees whose absence or loss could adversely affect our business.,operational risk,Personnel resource,,
0001679268-23-000006,"If we are unable to employ a sufficient number of skilled and qualified workers, our capacity and profitability could be diminished and our growth potential could be impaired.",operational risk,Personnel resource,,
0001679268-23-000006,Unionization efforts could increase our costs or limit our flexibility.,other risk,Unionization,,
0001679268-23-000006,"Our operations may be limited or disrupted in certain parts of the continental U.S. and Canada during severe weather conditions, which could have a material adverse effect on our financial condition and results of operations.",operational risk,Unspecified or Diverse Risks,,
0001679268-23-000006,"Concerns over general economic, business or industry conditions may have a material adverse effect on our results of operations, liquidity and financial condition.",market risk,,,
0001679268-23-000006,A terrorist attack or armed conflict could harm our business.,business risk,,,
0001679268-23-000006,"Our operations require substantial capital and we may be unable to obtain needed capital or financing on satisfactory terms or at all, which could limit our ability to grow.",credit risk,Debt and Creditworthiness,,
0001679268-23-000006,"The growth of our business through acquisitions may expose us to various risks, including those relating to difficulties in identifying suitable, accretive acquisition opportunities and integrating businesses, assets and personnel, as well as difficulties in obtaining financing for targeted acquisitions and the potential for increased leverage or debt service requirements.",credit risk,Debt and Creditworthiness,,
0001679268-23-000006,"We may have difficulty managing growth in our business, which could adversely affect our financial condition and results of operations.",operational risk,,,
0001679268-23-000006,"If our intended expansion of our business is not successful, our financial condition, profitability and results of operations could be adversely affected, and we may not achieve increases in revenue and profitability that we hope to realize.",business risk,,,
0001679268-23-000006,Our liquidity needs could restrict our operations and make us more vulnerable to adverse economic conditions.,market risk,Market Dynamics and Volatility,,
0001679268-23-000006,"Our revolving credit facility provides, and any future credit facilities may provide, for fluctuating interest rates, which may increase or decrease our interest expense.",credit risk,Debt and Creditworthiness,,
0001679268-23-000006,We may not be able to provide services that meet the specific needs of oil and natural gas exploration and production companies or utilities at competitive prices.,competition risk,,,
0001679268-23-000006,"Our operations are subject to hazards inherent in the oil and natural gas and energy infrastructure industries, which could expose us to substantial liability and cause us to lose customers and substantial revenue.",operational risk,Operational Processes and Safety,,
0001679268-23-000006,"We are subject to extensive environmental, health and safety laws and regulations that may subject us to substantial liability or require us to take actions that will adversely affect our results of operations.",legal and regulatory risk,,,
0001679268-23-000006,"Legislation or regulatory initiatives intended to address seismic activity could restrict our drilling and production activities, as well as our ability to dispose of produced water gathered from such activities, which could have a material adverse effect on our business.",legal and regulatory risk,,,
0001679268-23-000006,Our operations in our natural sand proppant services business are dependent on our rights and ability to mine our properties and on our having renewed or received the required permits and approvals from governmental authorities and other third parties.,legal and regulatory risk,,,
0001679268-23-000006,"Penalties, fines or sanctions that may be imposed by the U.S. Mine Safety and Health Administration could have a material adverse effect on our proppant production and sales business and our overall financial condition, results of operations and cash flows.",legal and regulatory risk,,,
0001679268-23-000006,Increasing trucking regulations may increase our costs and negatively impact our results of operations.,legal and regulatory risk,Compliance and Legal Obligations,,
0001679268-23-000006,Conservation measures and technological advances could reduce demand for oil and natural gas and our services.,operational risk,,,
0001679268-23-000006,"Changes in tax laws and regulations or adverse outcomes resulting from examination of our tax returns may adversely affect our business, results of operations, financial condition and cash flow.",legal and regulatory risk,Tax law,,
0001679268-23-000006,Losses and liabilities from uninsured or underinsured activities could have a material adverse effect on our financial condition and operations.,business risk,Reinsurance,,
0001679268-23-000006,"We may be subject to claims for personal injury and property damage, which could materially adversely affect our financial condition and results of operations.",business risk,Reinsurance,,
0001679268-23-000006,Loss of our information and computer systems could adversely affect our business.,operational risk,,,
0001679268-23-000006,"We are subject to cyber security risks. A cyber incident could occur and result in information theft, data corruption, operational disruption and/or financial loss.",operational risk,,,
0001679268-23-000006,Risks Inherent to Our Common Stock,market risk,Market Dynamics and Volatility,,
0001679268-23-000006,"Our largest stockholder controls a significant percentage of our common stock, and its interests may conflict with those of our other stockholders.",market risk,Market Dynamics and Volatility,,
0001679268-23-000006,A significant reduction by Wexford of its ownership interests in us could adversely affect us.,other risk,Interest conflict,,
0001679268-23-000006,"We are subject to certain requirements of Section 404 of the Sarbanes-Oxley Act. If we are unable to continue comply with Section 404 or if the costs related to compliance are significant, our profitability, stock price, results of operations and financial condition could be materially adversely affected.",legal and regulatory risk,Compliance and Legal Obligations,,
0001679268-23-000006,The corporate opportunity provisions in our certificate of incorporation could enable Wexford or other affiliates of ours to benefit from corporate opportunities that might otherwise be available to us.,other risk,,,
0001679268-23-000006,We have engaged in transactions with our affiliates and expect to do so in the future. The terms of such transactions and the resolution of any conflicts that may arise may not always be in our or our common stockholders?? best interests.,strategy risk,,,
0001679268-23-000006,"If the price of our common stock fluctuates significantly, your investment could lose value.",market risk,Stock price fluctuation,,
0001679268-23-000006,"Wexford beneficially owns a substantial amount of our common stock and may sell such common stock in the public or private markets. Sales of these shares of common stock or sales of substantial amounts of our common stock by other stockholders, or the perception that such sales may occur, could adversely affect the prevailing market price of our common stock.",market risk,Interest rate fluctuation,,
0001679268-23-000006,"If securities or industry analysts do not publish research or reports about our business, if they adversely revise their recommendations regarding our stock or if our operating results do not meet their expectations, the price of our stock could decline.",market risk,Stock price fluctuation,,
0001679268-23-000006,We may issue preferred stock whose terms could adversely affect the voting power or value of our common stock.,market risk,,,
0001679268-23-000006,"Provisions in our certificate of incorporation and bylaws and Delaware law make it more difficult to effect a change in control of the company, which could adversely affect the price of our common stock.",legal and regulatory risk,,,
0001679268-23-000006,"Our certificate of incorporation designates courts in the State of Delaware as the sole and exclusive forum for certain types of actions and proceedings that may be initiated by our stockholders, which could limit our stockholders?? ability to obtain a favorable judicial forum for disputes with us or our directors, officers or other employees.",market risk,Interest rate fluctuation,,
0001679268-23-000006,"The declaration of dividends on our common stock is within the discretion of our board of directors based upon a review of relevant considerations, and there is no guarantee that we will pay any dividends in the future or at levels anticipated by our stockholders.",market risk,,,
0001680247-23-000026,Risks Inherent in Our Business and Industry,business risk,,,
0001680247-23-000026,"Our business and financial performance depends on the historically cyclical oil and natural gas industry and particularly on the level of capital spending and exploration and production activity within the United States and in the Permian Basin, and a decline in prices for oil and natural gas may cause fluctuation in operating results or otherwise have an adverse effect on our revenue, cash flows, profitability and growth.",market risk,Cyclical fluctuation,,
0001680247-23-000026,The cyclical nature of the oil and natural gas industry may cause our operating results to fluctuate.,market risk,Cyclical fluctuation,,
0001680247-23-000026,"The majority of our operations are located in the Permian Basin, making us vulnerable to risks associated with operating in one major geographic area.",strategy risk,Geographic concentration,,
0001680247-23-000026,The IRA 2022 could accelerate the transition to a low carbon economy and could impose new costs on our customers?? operations.,other risk,,,
0001680247-23-000026,"The COVID-19 outbreak has negatively impacted, and may continue to negatively impact crude oil prices and demand for our products and services.",operational risk,Catastrophe,,
0001680247-23-000026,Our business may be adversely affected by a deterioration in general economic conditions or a weakening of the broader energy industry.,market risk,,,
0001680247-23-000026,New technology may cause us to become less competitive.,competition risk,Market Competition and Positioning,,
0001680247-23-000026,"Our operations require substantial capital and we may be unable to obtain needed capital or financing on satisfactory terms, or at all, which could limit our ability to grow.",credit risk,,,
0001680247-23-000026,"Concerns over general economic, business or industry conditions may have a material adverse effect on our results of operations, liquidity and financial condition.",market risk,,,
0001680247-23-000026,Our indebtedness and liquidity needs could restrict our operations and make us more vulnerable to adverse economic conditions.,credit risk,,,
0001680247-23-000026,Restrictions in our ABL Credit Facility and any future financing agreements may limit our ability to finance future operations or capital needs or capitalize on potential acquisitions and other business opportunities.,credit risk,,,
0001680247-23-000026,We may incur debt and our indebtedness could adversely affect our operations and financial condition.,credit risk,,,
0001680247-23-000026,We may record losses or impairment charges related to goodwill and long-lived assets including intangible assets.,other risk,Goodwill impairment,,
0001680247-23-000026,"Our operations are subject to unforeseen interruptions and hazards inherent in the oil and natural gas industry, for which we may not be adequately insured and which could cause us to lose customers and substantial revenue.",operational risk,,,
0001680247-23-000026,"A terrorist attack, armed conflict or political or civil unrest could harm our business.",operational risk,Catastrophe,,
0001680247-23-000026,"We may be subject to claims for personal injury and property damage, which could materially adversely affect our financial condition and results of operations.",legal and regulatory risk,Claim,,
0001680247-23-000026,"We are subject to cyber security risks. A cyber incident could occur and result in information theft, data corruption, operational disruption and/or financial loss.",operational risk,,,
0001680247-23-000026,We may grow through acquisitions and our failure to properly plan and manage those acquisitions may adversely affect our performance.,strategy risk,,,
0001680247-23-000026,We may be adversely affected by the effects of inflation.,market risk,,,
0001680247-23-000026,"Risks Related to Customers, Suppliers and Competition",market risk,,,
0001680247-23-000026,Reliance upon a few large customers may adversely affect our revenue and operating results.,operational risk,,,
0001680247-23-000026,"We face significant competition that may cause us to lose market share, and competition in our industry has intensified during the industry downturn.",competition risk,,,
0001680247-23-000026,"We are exposed to the credit risk of our customers, and any material nonpayment or nonperformance by our customers could adversely affect our business, results of operations and financial condition.",credit risk,,,
0001680247-23-000026,"Our business depends upon the ability to obtain specialized equipment, parts and key raw materials, including sand and chemicals, from third_party suppliers, and we may be vulnerable to delayed deliveries and future price increases.",liquidity risk,,,
0001680247-23-000026,We may be required to pay fees to certain of our sand suppliers based on minimum volumes under long-term contracts regardless of actual volumes received.,strategy risk,,,
0001680247-23-000026,Disruption of our supply chain could adversely impact our ability to provide our services.,operational risk,Operational Processes and Safety,,
0001680247-23-000026,Risks Related to Employees,operational risk,,,
0001680247-23-000026,We rely on a few key employees whose absence or loss could adversely affect our business.,operational risk,Employee,,
0001680247-23-000026,"If we are unable to employ a sufficient number of skilled and qualified workers, our capacity and profitability could be diminished and our growth potential could be impaired.",operational risk,,,
0001680247-23-000026,Risks Related to Regulatory Matters,legal and regulatory risk,,,
0001680247-23-000026,"We are subject to environmental laws and regulations, and future compliance, claims, and liabilities relating to such matters may have a material adverse effect on our results of operations, financial position or cash flows.",legal and regulatory risk,,,
0001680247-23-000026,"Our and our customers?? operations are subject to a series of risks arising out of the threat of climate change that could result in increased operating costs, limit the areas in which oil and natural gas production may occur, and reduce demand for the products and services we provide.",other risk,Climate,,
0001680247-23-000026,Federal and state legislative and regulatory initiatives relating to hydraulic fracturing could result in increased costs and additional operating restrictions or delays.,legal and regulatory risk,,,
0001680247-23-000026,Increasing trucking regulations may increase our costs and negatively impact our results of operations.,legal and regulatory risk,Regulation changes,,
0001680247-23-000026,"Increased attention to environmental, social and governance (ESG) matters, conservation measures, commercial development and technological advances could reduce demand for oil and natural gas and our services.",market risk,,,
0001680247-23-000026,"Certain of our completion services, particularly our hydraulic fracturing services, are substantially dependent on the availability of water. Restrictions on our or our customers?? ability to obtain water may have an adverse effect on our financial condition, results of operations and cash flows.",liquidity risk,,,
0001680247-23-000026,Risks Related to our Tax Matters,tax risk,,,
0001680247-23-000026,Our ability to use our net operating loss carryforwards may be limited.,other risk,Interest conflict,,
0001680247-23-000026,Risks Inherent to an Investment in our Common Stock,market risk,Stock price fluctuation,,
0001680247-23-000026,"We are subject to certain requirements of Section 404 of the Sarbanes-Oxley Act (Section 404). If we or our auditors identify and report material weaknesses in internal control over financial reporting, our investors may lose confidence in our reported information and our stock price may be negatively affected.",legal and regulatory risk,,,
0001680247-23-000026,"Certain provisions of our certificate of incorporation, and bylaws, as well as Delaware law, may discourage acquisition bids or merger proposals, which may adversely affect the market price of our common stock.",legal and regulatory risk,,,
0001680247-23-000026,Our business could be negatively affected as a result of the actions of activist shareholders.,business risk,,,
0001680247-23-000026,"Our certificate of incorporation designates the Court of Chancery of the State of Delaware as the sole and exclusive forum for certain types of actions and proceedings that may be initiated by our shareholders, which could limit our shareholders?? ability to pursue actions in another judicial forum for disputes with us or our directors, officers, employees or agents.",strategy risk,Geographic concentration,,
0001680247-23-000026,The market price of our common stock is subject to volatility.,market risk,Stock price fluctuation,,
0001680247-23-000026,"There may be future sales or other dilution of our equity, which may adversely affect the market price of our common stock.",market risk,,,
0001688476-23-000051,Risks Related to Our Industry,market risk,,,
0001688476-23-000051,"Our business depends on domestic capital spending and well completions activity by the onshore oil and natural gas industry and reductions in capital spending could have a material adverse effect on our liquidity, results of operations and financial condition.",liquidity risk,Cash Flow and Liquid Assets,,
0001688476-23-000051,The volatility of oil and natural gas prices may adversely affect the demand for our services and negatively impact our results of operations.,market risk,Interest rate fluctuation,,
0001688476-23-000051,Adverse weather conditions could impact demand for our services or materially impact our costs.,other risk,Weather,,
0001688476-23-000051,Our operations involve a variety of operating hazards that could cause losses.,operational risk,,,
0001688476-23-000051,Risks Related to Our Business,business risk,,,
0001688476-23-000051,"We are exposed to the credit risk of our customers, and any material nonpayment or nonperformance by our customers could adversely affect our financial results.",credit risk,,,
0001688476-23-000051,"Our assets require significant amounts of capital for maintenance, upgrades and refurbishment and may require significant capital expenditures for new equipment.",other risk,Goodwill impairment,,
0001688476-23-000051,"Delays in deliveries of key raw materials or increases in the cost of key raw materials could harm our business, results of operations and financial condition.",liquidity risk,,,
0001688476-23-000051,"Our commitments under supply agreements could exceed our requirements, exposing us to risks including price, timing of delivery and quality of products and services upon which our business relies.",business risk,Contract,,
0001688476-23-000051,New technology may cause us to become less competitive and intellectual property related liability may have a material negative impact on our business and results of operations.,business risk,,,
0001688476-23-000051,"We may be subject to litigation and other proceedings, including claims for personal injury and property damage, which could materially adversely affect our financial condition, prospects and results of operations.",legal and regulatory risk,,,
0001688476-23-000051,"Risks Related to Government Regulation, Laws and Compliance",legal and regulatory risk,,,
0001688476-23-000051,"Failure on our part to comply with, and the costs of compliance with, applicable health, safety, and environmental requirements could have a material adverse effect on our business, results of operations, and financial condition.",legal and regulatory risk,,,
0001688476-23-000051,"Delays in obtaining, or inability to obtain or renew, permits or authorizations by our customers for their operations or by us for our operations could impair our business.",legal and regulatory risk,,,
0001688476-23-000051,"Existing or future laws, regulations, court orders or other initiatives to limit greenhouse gas (??GHG??) emissions or relating to climate change may reduce demand for our products and services.",legal and regulatory risk,Compliance and Legal Obligations,,
0001688476-23-000051,We could be adversely affected by violations laws and regulations governing international trade including the U.S. Foreign Corrupt Practices Act and similar foreign anti-bribery laws.,legal and regulatory risk,Compliance and Legal Obligations,,
0001688476-23-000051,Changes in transportation regulations may increase our costs and negatively impact our results of operations.,legal and regulatory risk,Regulation changes,,
0001688476-23-000051,"The Company could be subject to changes in its tax rates, the adoption of new tax legislation, tax audits, or exposure to additional tax liabilities that could have a material adverse effect on our business, consolidated results of operations, and consolidated financial condition.",tax risk,,,
0001688476-23-000051,"The adoption of any future federal, state, or local laws or implementing regulations imposing reporting obligations on, or limiting or banning, the hydraulic fracturing process could make it more difficult to complete natural gas and oil wells and could have a material adverse effect on our business, results of operations, and financial condition.",legal and regulatory risk,,,
0001688476-23-000051,Strategic Risks,strategy risk,,,
0001688476-23-000051,"Our acquisitions, dispositions and investments may not result in anticipated benefits and may present risks not originally contemplated, which may have a material adverse effect on our business, consolidated results of operations, and consolidated financial condition.",business risk,,,
0001688476-23-000051,Integrating acquisitions may be time-consuming and create costs that could reduce our net income and cash flows.,liquidity risk,,,
0001688476-23-000051,"Investor and public perception related to the company??s environment, social, and governance (??ESG??) performance as well as current and future ESG reporting requirements may negatively affect our business, results of operations, and liquidity.",liquidity risk,,,
0001688476-23-000051,Increased scrutiny regarding our ESG practices could impact our reputation.,other risk,,,
0001688476-23-000051,"Failure to effectively and timely address the need to operate more sustainably and with a lower carbon footprint and impact could adversely affect our business, results of operations and cash flows.",operational risk,Management procedure,,
0001688476-23-000051,Risks Related to Human Capital,liquidity risk,Capital availability,,
0001688476-23-000051,The loss or unavailability of any of our executive officers or other key employees could have a material adverse effect on our business.,operational risk,,,
0001688476-23-000051,"If labor costs increase or we fail to attract and retain qualified employees our business, results of operations and financial condition may be adversely affected.",operational risk,,,
0001688476-23-000051,Risks Related to Our Indebtedness,credit risk,Debt and Creditworthiness,,
0001688476-23-000051,Our substantial level of indebtedness could adversely affect our financial condition and prevent us from fulfilling our obligations under our indebtedness.,credit risk,Debt and Creditworthiness,,
0001688476-23-000051,"Despite our indebtedness levels, we may still be able to incur additional debt, which could further exacerbate the risks associated with our leverage.",credit risk,Debt and Creditworthiness,,
0001688476-23-000051,The agreements governing our indebtedness contain operating covenants and restrictions that limit our operations and could lead to adverse consequences if we fail to comply with them.,credit risk,Debt and Creditworthiness,,
0001688476-23-000051,Substantially all of our debt is variable rate and increases in interest rates could negatively affect our financing costs and our ability to access capital.,credit risk,Debt and Creditworthiness,,
0001688476-23-000051,"Ability to use net operating loss carryforwards to offset future taxable income for U.S. federal income tax purposes is subject to limitation under Section 382 of the Internal Revenue Code, and NOLs and other tax attributes is subject to reduction, causing less NOL or tax deductions to be available to offset future taxable income for U.S. federal income tax purpose",legal and regulatory risk,,,
0001688476-23-000051,Risks Related to Our Common Stock,market risk,,,
0001688476-23-000051,"The price of our common stock may be volatile or may decline regardless of our operating performance, and our stockholders may not be able to resell their shares at or above the public offering price.",market risk,Stock price fluctuation,,
0001688476-23-000051,"Our stockholders may be diluted by the future issuance of additional common stock in connection with our equity incentive plans, acquisitions or otherwise.",market risk,Stock price fluctuation,,
0001688476-23-000051,Keane Investor and Cerberus own a significant amount of our common stock and their interests could be in conflict with the interest of our other shareholders.,other risk,Interest conflict,,
0001688476-23-000051,We cannot guarantee that our recently announced stock buyback program will be fully consummated or that such program will enhance the long-term value of our share price.,market risk,,,
0001688476-23-000051,"Provisions in our certificate of incorporation, bylaws and our stockholders?? agreement could make acquiring us more difficult and may prevent attempts by our stockholders to replace or remove our current management, even if beneficial to our stockholders.",legal and regulatory risk,,,
0001688476-23-000051,"Our certificate of incorporation and bylaws designate the Court of Chancery of the State of Delaware as the sole and exclusive forum for certain types of actions and proceedings that may be initiated by our stockholders, which could limit our stockholders?? ability to obtain a favorable judicial forum for disputes with us or our directors, officers or other employees",legal and regulatory risk,,,
0001688476-23-000051,General Risks,other risk,,,
0001688476-23-000051,Our business could be negatively affected by cybersecurity incidents.,operational risk,,,
0001688476-23-000051,"A failure of our information technology systems, including our enterprise resource planning system and our digital hub, could have a material adverse effect on our business, financial condition, results of operations and cash flows and could adversely affect the effectiveness of our internal control over financial reporting.",operational risk,,,
0001688476-23-000051,A period of sustained inflation across all the major markets in which we operate could result in higher operating costs.,market risk,,,
0001688476-23-000051,"Our business is subject to risks arising from epidemic diseases, such as the recent global outbreak of the coronavirus.",operational risk,Catastrophe,,
0001688476-23-000051,Global economic and geopolitical conditions could adversely affect our operations.,market risk,,,
0001694028-23-000010,Risks Related to the Oil and Natural Gas Industry,market risk,Industry,,
0001694028-23-000010,"Federal, state, local and other applicable legislative and regulatory initiatives relating to hydraulic fracturing may serve to limit future oil and natural gas E&P activities and could have a material adverse effect on our results of operations and business.",legal and regulatory risk,,,
0001694028-23-000010,Federal legislation and regulatory initiatives relating to drilling on federal lands could harm our business and negatively impact the oil and natural gas industry.,legal and regulatory risk,,,
0001694028-23-000010,"Our business depends on domestic capital spending by the oil and natural gas industry, and reductions in capital spending could have a material adverse effect on our liquidity, results of operations and financial condition.",liquidity risk,Cash Flow and Liquid Assets,,
0001694028-23-000010,The volatility of oil and natural gas prices may adversely affect the demand for our hydraulic fracturing services and negatively impact our results of operations.,market risk,Interest rate fluctuation,,
0001694028-23-000010,Delays or restrictions in obtaining permits by us for our operations or by our customers for their operations could impair our business.,other risk,Interest conflict,,
0001694028-23-000010,"Oil and natural gas companies?? operations using hydraulic fracturing are substantially dependent on the availability of water. Restrictions on the ability to obtain water for E&P activities and the disposal of flowback and produced water may impact their operations and have a corresponding adverse effect on our business, results of operations and financial condition.",legal and regulatory risk,Regulation restriction,,
0001694028-23-000010,"Our operations are subject to risks associated with climate change and potential regulatory programs meant to address climate change; these programs may impact or limit our business plans, result in significant expenditures or reduce demand for our services and reduce our revenues.",legal and regulatory risk,Compliance and Legal Obligations,,
0001694028-23-000010,"An increased societal and governmental focus on ESG and climate change issues may adversely impact our business, impact our access to investors and financing, and decrease demand for our services.",other risk,Interest conflict,,
0001694028-23-000010,"Our operations are subject to significant risks, some of which are beyond our control. These risks may be self-insured, or may not be fully covered under our insurance policies.",business risk,Reinsurance,,
0001694028-23-000010,"We could experience continued or increased severity of trucking related issues or trucking accidents, which could materially affect our results of operations.",operational risk,Catastrophe,,
0001694028-23-000010,"We may be subject to claims for personal injury and property damage, which could materially adversely affect our financial condition, prospects and results of operations.",other risk,Reinsurance,,
0001694028-23-000010,We are subject to environmental and occupational health and safety laws and regulations that may expose us to significant costs and liabilities.,business risk,Compliance and Legal Obligations,,
0001694028-23-000010,Oilfield anti-indemnity provisions enacted by many states may restrict or prohibit a party??s indemnification of us.,legal and regulatory risk,Regulation restriction,,
0001694028-23-000010,"Technology advancements in well service technologies, including those involving hydraulic fracturing, could have a material adverse effect on our business, financial condition and results of operations.",operational risk,,,
0001694028-23-000010,The ability or willingness of OPEC and other oil exporting nations to set and maintain production levels and/or the impact of sanctions on Russia related to the war in Ukraine may have a significant impact on natural gas commodity prices.,market risk,,,
0001694028-23-000010,Risks Related to the TRAs,other risk,TRAs,,
0001694028-23-000010,"The Company is required to make payments under the TRAs for certain tax benefits that it may claim, and the amounts of such payments could be significant.",legal and regulatory risk,,,
0001694028-23-000010,General Risks Related to our Business,business risk,,,
0001694028-23-000010,"COVID-19 has had in the past, and may in the future have, a material adverse effect on the demand for our services, our operations, business and financial results.",operational risk,Catastrophe,,
0001694028-23-000010,We may be adversely affected by uncertainty in the global financial markets and the deterioration of the financial condition of our customers.,market risk,,,
0001694028-23-000010,"Our business, financial condition and results of operations may be adversely impacted by the effects of inflation.",market risk,,,
0001694028-23-000010,Reliance upon a few large customers may adversely affect our revenue and operating results.,strategy risk,,,
0000354707-23-000032,Holding company and company-wide risks.,other risk,,,
0000354707-23-000032,Electric utility risks.,operational risk,Internal control,,
0000354707-23-000032,Bank risks.,liquidity risk,Capital availability,,
0000354707-23-000032,General Risk Factors.,other risk,General Risk,,
0000950170-23-002759,STRATEGIC RISK,strategy risk,,,
0000950170-23-002759,"Our continued success is dependent on execution of our business plan and growth strategy, including our capital investment program.",strategy risk,,,
0000950170-23-002759,"REGULATORY, LEGISLATIVE AND LEGAL RISKS",legal and regulatory risk,,,
0000950170-23-002759,We may be subject to unfavorable or untimely federal and state regulatory outcomes.,legal and regulatory risk,Regulation restriction,,
0000950170-23-002759,"Costs could significantly increase to achieve or maintain compliance with existing or future environmental laws, regulations or requirements including those associated with climate change.",legal and regulatory risk,,,
0000950170-23-002759,Legislative and regulatory requirements may result in compliance penalties.,legal and regulatory risk,Compliance and Legal Obligations,,
0000950170-23-002759,Municipal governments may seek to limit or deny our franchise privileges.,legal and regulatory risk,Regulation restriction,,
0000950170-23-002759,Changes in Federal tax law may significantly impact our business.,legal and regulatory risk,Tax laws changes,,
0000950170-23-002759,"Our business, financial condition, results of operations and prospects may be materially adversely affected due to adverse results of litigation.",legal and regulatory risk,,,
0000950170-23-002759,OPERATING RISKS,operational risk,,,
0000950170-23-002759,Failure to attract and retain an appropriately qualified workforce could have a negative impact on our operations and long-term business strategy.,strategy risk,,,
0000950170-23-002759,"The nature of our business subjects us to climate-related risk, stemming from both physical risk and transition risk of climate change, over varying time horizons.",other risk,Weather,,
0000950170-23-002759,Supply chain challenges could negatively impact our operations.,operational risk,,,
0000950170-23-002759,"Cyberattacks, terrorism, or other malicious acts targeting our key technology systems could disrupt our operations or lead to a loss or misuse of confidential and proprietary information.",operational risk,Information system,,
0000950170-23-002759,"Our financial performance depends on the successful operation of electric generating facilities, electric and natural gas transmission and distribution systems, natural gas storage facilities and a coal mine.",operational risk,Information system,,
0000950170-23-002759,"Our operations are subject to various conditions that can result in fluctuations in customer usage, including customer growth and general economic conditions in our service territories, weather conditions, and responses to price increases and technological improvements.",operational risk,,,
0000950170-23-002759,"If macroeconomic or other conditions adversely affect operations or require us to make changes to our strategic business plan, we may be forced to record a non-cash goodwill impairment charge.",market risk,Interest rate fluctuation,,
0000950170-23-002759,"Widespread public health crises and epidemics or pandemics could negatively affect our business operations, results of operations, financial condition and cash flows.",liquidity risk,Cash Flow and Liquid Assets,,
0000950170-23-002759,FINANCIAL RISKS,other risk,,,
0000950170-23-002759,A sub-investment grade credit rating could impact our ability to access capital markets.,credit risk,,,
