adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,SIC Code,Office,Industry Title,filing_url
0001366561-22-000045,1366561,SMARTSHEET INC,7372.0,US,WA,BELLEVUE,98004,10500 NE 8TH STREET,SUITE 1300,855-420-2395,US,WA,BELLEVUE,98004,10500 NE 8TH STREET,SUITE 1300,US,WA,202954357.0,SMARTSHEET.COM INC,20060619.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220325,2022-03-25 16:05:00.0,0,1,smar-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1366561/000136656122000045/0001366561-22-000045.txt
0001124610-22-000009,1124610,"VMWARE, INC.",7372.0,US,CA,PALO ALTO,94304,3401 HILLVIEW AVENUE,,(650) 427-5000,US,CA,PALO ALTO,94304,3401 HILLVIEW AVENUE,,US,DE,943292913.0,VMWARE INC,20000923.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220324,2022-03-24 16:13:00.0,0,1,vmw-20220128_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1124610/000112461022000009/0001124610-22-000009.txt
0001353283-22-000011,1353283,SPLUNK INC,7372.0,US,CA,SAN FRANCISCO,94107,270 BRANNAN STREET,,415-848-8400,US,CA,SAN FRANCISCO,94107,270 BRANNAN STREET,,,,861106510.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220324,2022-03-24 16:31:00.0,0,1,splk-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1353283/000135328322000011/0001353283-22-000011.txt
0001477720-22-000012,1477720,"ASANA, INC.",7372.0,US,CA,SAN FRANCISCO,94107,633 FOLSOM STREET,SUITE 100,(415) 525-3888,US,CA,SAN FRANCISCO,94107,633 FOLSOM STREET,SUITE 100,US,DE,263912448.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220324,2022-03-24 16:16:00.0,0,1,asan-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1477720/000147772022000012/0001477720-22-000012.txt
0001468666-22-000011,1468666,SECUREWORKS CORP,7372.0,US,GA,ATLANTA,30328,ONE CONCOURSE PARKWAY,SUITE 500,4049291810,US,GA,ATLANTA,30328,ONE CONCOURSE PARKWAY,SUITE 500,US,DE,270463349.0,SECUREWORKS HOLDING CORP,20090720.0,2-ACC,0,131.0,10-K,20220131.0,2021.0,FY,20220323,2022-03-23 16:07:00.0,0,1,scwx-20220128_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1468666/000146866622000011/0001468666-22-000011.txt
0001505952-22-000012,1505952,"DOMO, INC.",7372.0,US,UT,AMERICAN FORK,84003,772 EAST UTAH VALLEY DRIVE,,801-899-1000,US,UT,AMERICAN FORK,84003,772 EAST UTAH VALLEY DRIVE,,US,DE,273687433.0,"LIGHTSTORM, INC.",20110425.0,1-LAF,0,131.0,10-K,20220131.0,2021.0,FY,20220323,2022-03-22 21:41:00.0,0,1,domo-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1505952/000150595222000012/0001505952-22-000012.txt
0001540755-22-000018,1540755,"ANAPLAN, INC.",7372.0,US,CA,SAN FRANCISCO,94105,50 HAWTHORNE STREET,,415-742-8199,US,CA,SAN FRANCISCO,94105,50 HAWTHORNE STREET,,US,DE,270897861.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220323,2022-03-23 16:23:00.0,0,1,plan-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1540755/000154075522000018/0001540755-22-000018.txt
0001441816-22-000059,1441816,"MONGODB, INC.",7372.0,US,NY,NEW YORK,10019,1633 BROADWAY,38TH FLOOR,866-237-8815,US,NY,NEW YORK,10019,1633 BROADWAY,38TH FLOOR,US,DE,0.0,10GEN INC,20080801.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220318,2022-03-18 16:10:00.0,0,1,mdb-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1441816/000144181622000059/0001441816-22-000059.txt
0001568100-22-000014,1568100,"PAGERDUTY, INC.",7372.0,US,CA,SAN FRANCISCO,94103,600 TOWNSEND STREET #200,,(844) 800-3889,US,CA,SAN FRANCISCO,94103,600 TOWNSEND STREET #200,,US,DE,272793871.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220317,2022-03-17 16:23:00.0,0,1,pd-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1568100/000156810022000014/0001568100-22-000014.txt
0000950170-22-003913,1372612,BOX INC,7372.0,US,CA,REDWOOD CITY,94063,900 JEFFERSON AVE,,877-729-4269,US,CA,REDWOOD CITY,94063,900 JEFFERSON AVE,,US,DE,202714444.0,BOX.NET INC,20060814.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220316,2022-03-16 16:07:00.0,0,1,box-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1372612/000095017022003913/0000950170-22-003913.txt
0001385867-22-000010,1385867,COUPA SOFTWARE INC,7372.0,US,CA,SAN MATEO,94402,1855 S. GRANT STREET,,6509313200,US,CA,SAN MATEO,94402,1855 S. GRANT STREET,,US,DE,204429448.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220316,2022-03-16 16:03:00.0,0,1,coup-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1385867/000138586722000010/0001385867-22-000010.txt
0001535527-22-000006,1535527,"CROWDSTRIKE HOLDINGS, INC.",7372.0,US,TX,AUSTIN,78701,206 E. 9TH STREET,SUITE 1400,888-512-8906,US,TX,AUSTIN,78701,206 E. 9TH STREET,SUITE 1400,US,DE,453788918.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220316,2022-03-16 16:08:00.0,0,1,crwd-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000006/0001535527-22-000006.txt
0000769397-22-000019,769397,"AUTODESK, INC.",7372.0,US,CA,SAN RAFAEL,94903,111 MCINNIS PKWY,,4155075000,US,CA,SAN RAFAEL,94903,111 MCINNIS PKWY,,US,DE,942819853.0,AUTODESK INC,19920703.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220314,2022-03-14 16:04:00.0,0,1,adsk-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/769397/000076939722000019/0000769397-22-000019.txt
0001643269-22-000007,1643269,"SUMO LOGIC, INC.",7372.0,US,CA,REDWOOD CITY,94063,305 MAIN STREET,,650-810-8700,US,CA,REDWOOD CITY,94063,305 MAIN STREET,,US,DE,272234444.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220314,2022-03-14 16:15:00.0,0,1,sumo-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1643269/000164326922000007/0001643269-22-000007.txt
0001108524-22-000013,1108524,"SALESFORCE.COM, INC.",7372.0,US,CA,SAN FRANCISCO,94105,SALESFORCE TOWER,415 MISSION STREET 3RD FL,415-901-7000,US,CA,SAN FRANCISCO,94105,SALESFORCE TOWER,415 MISSION STREET 3RD FL,US,DE,943320693.0,SALESFORCE COM INC,20000307.0,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220311,2022-03-11 08:06:00.0,0,1,crm-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000013/0001108524-22-000013.txt
0001660134-22-000010,1660134,"OKTA, INC.",7372.0,US,CA,SAN FRANCISCO,94105,100 FIRST STREET,SUITE 600,888-722-7871,US,CA,SAN FRANCISCO,94105,100 FIRST STREET,SUITE 600,US,DE,264175727.0,,,1-LAF,1,131.0,10-K,20220131.0,2021.0,FY,20220307,2022-03-07 16:52:00.0,0,1,okta-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/0001660134-22-000010.txt
0001108524-22-000008,1108524,"SALESFORCE.COM, INC.",7372.0,US,CA,SAN FRANCISCO,94105,SALESFORCE TOWER,415 MISSION STREET 3RD FL,415-901-7000,US,CA,SAN FRANCISCO,94105,SALESFORCE TOWER,415 MISSION STREET 3RD FL,US,DE,943320693.0,SALESFORCE COM INC,20000307.0,1-LAF,1,131.0,10-K,20210131.0,2020.0,FY,20220224,2022-02-24 16:14:00.0,0,1,crm-20210131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1108524/000110852422000008/0001108524-22-000008.txt
0001493152-22-009403,1498067,"CITRINE GLOBAL, CORP.",7372.0,IL,,TEL AVIV,6721503,"2 JABOTINSKY ST., ATRIUM TOWER",RAMAT GAN,972-73-7600341,IL,,TEL AVIV,6721503,"2 JABOTINSKY ST., ATRIUM TOWER",RAMAT GAN,US,DE,980663823.0,TECHCARE CORP.,20170118.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220408,2022-04-08 06:41:00.0,0,1,form10-k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1498067/000149315222009403/0001493152-22-009403.txt
0001564590-22-014010,1019671,SEACHANGE INTERNATIONAL INC,7372.0,US,MA,BOSTON,02115-3153,"177 HUNTINGTON AVENUE, SUITE 1703",PMB 73480,9788970100,US,MA,BOSTON,02115-3153,"177 HUNTINGTON AVENUE, SUITE 1703",PMB 73480,US,DE,43197974.0,,,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220408,2022-04-08 16:46:00.0,0,1,seac-10k_20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1019671/000156459022014010/0001564590-22-014010.txt
0001628280-22-008836,1653482,GITLAB INC.,7372.0,US,CA,SAN FRANCISCO,94104,268 BUSH STREET,#350,650-474-5175,US,CA,SAN FRANCISCO,94104,268 BUSH STREET,#350,US,DE,471861035.0,,,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220408,2022-04-08 16:49:00.0,0,1,gtlb-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1653482/000162828022008836/0001628280-22-008836.txt
0001410578-22-000838,1718939,T STAMP INC,7372.0,US,GA,ATLANTA,30305,3423 PIEDMONT ROAD,,678-325-7835,US,GA,ATLANTA,30305,"3017 BOLLING WAY NE, FLOORS 1 AND 2",,US,DE,813777260.0,,,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220407,2022-04-07 15:07:00.0,0,1,idai-20211231x10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1718939/000141057822000838/0001410578-22-000838.txt
0001583708-22-000016,1583708,"SENTINELONE, INC.",7372.0,US,CA,MOUNTAIN VIEW,94041,444 CASTRO STREET,SUITE 400,855-868-3733,US,CA,MOUNTAIN VIEW,94041,444 CASTRO STREET,SUITE 400,US,DE,990385461.0,"SENTINEL LABS, INC.",20210405.0,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220407,2022-04-07 16:17:00.0,0,1,s-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1583708/000158370822000016/0001583708-22-000016.txt
0001628280-22-018227,713425,AMERICAN SOFTWARE INC,7372.0,US,GA,ATLANTA,30305,470 E PACES FERRY RD NE,,4042614381,US,GA,ATLANTA,30305,470 EAST PACES FERRY ROAD NE,,US,GA,581098795.0,,,1-LAF,0,430.0,10-K,20220430.0,2022.0,FY,20220629,2022-06-29 17:17:00.0,0,1,amswa-20220430_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/713425/000162828022018227/0001628280-22-018227.txt
0001628280-22-017829,1577526,"C3.AI, INC.",7372.0,US,CA,REDWOOD CITY,94063,1300 SEAPORT BLVD,SUITE 500,650-503-2218,US,CA,REDWOOD CITY,94063,1300 SEAPORT BLVD,SUITE 500,US,DE,263999357.0,"C3 IOT, INC.",20180123.0,1-LAF,1,430.0,10-K,20220430.0,2022.0,FY,20220623,2022-06-22 21:16:00.0,0,1,ai-20220430_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1577526/000162828022017829/0001628280-22-017829.txt
0001564590-22-023675,1341439,ORACLE CORP,7372.0,US,CA,REDWOOD CITY,94065,500 ORACLE PARKWAY,MAIL STOP 5 OP 7,6505067000,US,CA,REDWOOD CITY,94065,500 ORACLE PARKWAY,MAIL STOP 5 OP 7,,,542185193.0,OZARK HOLDING INC.,20051013.0,1-LAF,1,531.0,10-K,20220531.0,2022.0,FY,20220621,2022-06-21 08:05:00.0,0,1,orcl-10k_20220531_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1341439/000156459022023675/0001564590-22-023675.txt
0001707753-22-000025,1707753,ELASTIC N.V.,7372.0,NL,,AMSTERDAM,1016 ED,KEIZERSGRACHT 281,,(650) 458-2620,US,CA,MOUNTAIN VIEW,94040,800 WEST EL CAMINO REAL SUITE 350,,NL,,0.0,ELASTIC B.V.,20180612.0,1-LAF,1,430.0,10-K,20220430.0,2022.0,FY,20220621,2022-06-21 17:10:00.0,0,1,estc-20220430_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1707753/000170775322000025/0001707753-22-000025.txt
0001552781-22-000463,1677897,UPAY,7372.0,US,TX,DALLAS,75234,3010 LBJ FWY,SUITE 1200,9728886052,US,TX,DALLAS,75234,3010 LBJ FWY,SUITE 1200,US,NV,371793622.0,,,4-NON,0,228.0,10-K,20220228.0,2021.0,FY,20220616,2022-06-16 15:38:00.0,0,1,e22350_upyy-10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1677897/000155278122000463/0001552781-22-000463.txt
0001628280-22-017109,1576914,MIX TELEMATICS LTD,7372.0,ZA,,JOHANNESBURG,1686,PO BOX 12326,VORNA VALLEY,27-11-654-8279,ZA,,JOHANNESBURG,1686,PO BOX 12326,VORNA VALLEY,ZA,,0.0,,,2-ACC,0,331.0,10-K,20220331.0,2021.0,FY,20220614,2022-06-14 15:59:00.0,0,1,mixt-20220331_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1576914/000162828022017109/0001628280-22-017109.txt
0001520138-22-000237,1602409,"FINGERMOTION, INC.",7372.0,US,NY,NEW YORK,10036,1460 BROADWAY,,(347) 349-5339,US,NY,NEW YORK,10036,1460 BROADWAY,,US,DE,464600326.0,PROPERTY MANAGEMENT CORP OF AMERICA,20140312.0,4-NON,0,228.0,10-K,20220228.0,2021.0,FY,20220531,2022-05-31 16:54:00.0,0,1,fngr-20220228_10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1602409/000152013822000237/0001520138-22-000237.txt
0001773383-22-000053,1773383,"DYNATRACE, INC.",7372.0,US,MA,WALTHAM,02451,"1601 TRAPELO ROAD, SUITE 116",,781-530-1000,US,MA,WALTHAM,02451,"1601 TRAPELO ROAD, SUITE 116",,,,0.0,DYNATRACE HOLDINGS LLC,20190410.0,1-LAF,1,331.0,10-K,20220331.0,2021.0,FY,20220526,2022-05-26 07:55:00.0,0,1,dt-20220331_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1773383/000177338322000053/0001773383-22-000053.txt
0000712515-22-000011,712515,ELECTRONIC ARTS INC.,7372.0,US,CA,REDWOOD CITY,94065,209 REDWOOD SHORES PARKWAY,,650-628-1500,US,CA,REDWOOD CITY,94065,209 REDWOOD SHORES PARKWAY,,US,DE,942838567.0,ELECTRONIC ARTS INC,19920703.0,1-LAF,1,331.0,10-K,20220331.0,2021.0,FY,20220525,2022-05-25 16:15:00.0,0,1,ea-20220331_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/712515/000071251522000011/0000712515-22-000011.txt
0000849399-22-000013,849399,NORTONLIFELOCK INC.,7372.0,US,AZ,TEMPE,85281,60 E RIO SALADO PARKWAY,SUITE 1000,650-527-2900,US,AZ,TEMPE,85281,60 E RIO SALADO PARKWAY,SUITE 1000,US,DE,770181864.0,SYMANTEC CORP,19920703.0,1-LAF,0,331.0,10-K,20220331.0,2021.0,FY,20220520,2022-05-20 16:55:00.0,0,1,nlok-20220401_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/849399/000084939922000013/0000849399-22-000013.txt
0001448056-22-000021,1448056,"NEW RELIC, INC.",7372.0,US,CA,SAN FRANCISCO,94105,"188 SPEAR STREET, STE. 1000",,650-777-7600,US,CA,SAN FRANCISCO,94105,"188 SPEAR STREET, STE. 1000",,US,DE,262017431.0,"NEW RELIC, INC",20151105.0,1-LAF,1,331.0,10-K,20220331.0,2021.0,FY,20220517,2022-05-17 16:10:00.0,0,1,newr-20220331_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1448056/000144805622000021/0001448056-22-000021.txt
0001628280-22-014580,946581,TAKE TWO INTERACTIVE SOFTWARE INC,7372.0,US,NY,NEW YORK,10036,110 WEST 44TH STREET,,646 536 2842,US,NY,NEW YORK,10036,110 WEST 44TH STREET,,US,DE,510350842.0,,,1-LAF,1,331.0,10-K,20220331.0,2021.0,FY,20220517,2022-05-16 20:17:00.0,0,1,ttwo-20220331_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/946581/000162828022014580/0001628280-22-014580.txt
0001477932-22-003122,1730869,"EVERYTHING BLOCKCHAIN, INC.",7372.0,US,FL,FLEMING ISLAND,32003,3027 US HIGHWAY 17,,321-802-2474,US,FL,FLEMING ISLAND,32003,3027 US HIGHWAY 17,,US,DE,821091922.0,"OBITX, INC.",20180208.0,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220510,2022-05-10 08:46:00.0,0,1,ebi_10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1730869/000147793222003122/0001477932-22-003122.txt
0001017386-22-000208,1627452,ME RENEWABLE POWER CORP,7372.0,LV,,RIGA,LV-1082,PUCES IELA 47 DZ. 40,,371-2810-2618,LV,,RIGA,LV-1082,PUCES IELA 47 DZ. 40,,US,NV,300845224.0,JAREX SOLUTIONS CORP.,20141209.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220506,2022-05-06 16:42:00.0,0,1,mepw_2021dec31-10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1627452/000101738622000208/0001017386-22-000208.txt
0001169561-22-000018,1169561,COMMVAULT SYSTEMS INC,7372.0,US,NJ,TINTON FALLS,07724,1 COMMVAULT WAY,,732-870-4000,US,NJ,TINTON FALLS,07724,1 COMMVAULT WAY,,US,DE,0.0,,,1-LAF,1,331.0,10-K,20220331.0,2021.0,FY,20220506,2022-05-06 14:41:00.0,0,1,cvlt-20220331_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1169561/000116956122000018/0001169561-22-000018.txt
0000950170-22-006874,1777946,"IRONNET, INC.",7372.0,US,VA,MCLEAN,22102,7900 TYSONS ONE PLACE,SUITE 400,443-300-6761,US,VA,MCLEAN,22102,7900 TYSONS ONE PLACE,SUITE 400,US,DE,834599446.0,LGL SYSTEMS ACQUISITION CORP.,20190925.0,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220502,2022-05-02 16:17:00.0,0,1,irnt-20220131_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1777946/000095017022006874/0000950170-22-006874.txt
0001640334-22-000876,1699126,CICLET HOLDINGS INC.,7372.0,PH,,AGUS LAPULAPU CITY,6015 CEBU,B11 L12 WOODPECKER STREET,BOUGAINVILLEA VILLAGE,639054201506,PH,,AGUS LAPULAPU CITY,6015 CEBU,B11 L12 WOODPECKER STREET,BOUGAINVILLEA VILLAGE,US,NV,0.0,,,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220502,2022-05-02 17:03:00.0,0,1,ciclet_10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1699126/000164033422000876/0001640334-22-000876.txt
0001710495-22-000004,1710495,MINARO CORP,7372.0,US,UT,DRAPER,84020,138 E 12300 S  UNIT #771,,35777788763,US,UT,DRAPER,84020,138 E 12300 S  UNIT #771,,,,364864568.0,,,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220421,2022-04-21 13:30:00.0,0,1,minaro10kreport_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1710495/000171049522000004/0001710495-22-000004.txt
0001477932-22-002455,1408057,ICORECONNECT INC.,7372.0,US,FL,WINDEREMERE,34786,"13506 SUMMERPORT PKWY, #160",,407-505-8934,US,FL,WINDEREMERE,34786,"13506 SUMMERPORT PKWY, #160",,US,NV,134182867.0,IMEDICOR,20100625.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220418,2022-04-15 20:03:00.0,0,1,icct_10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1408057/000147793222002455/0001477932-22-002455.txt
0001558370-22-005527,1774675,SKILLSOFT CORP.,7372.0,US,NY,NEW YORK,10019,"640 FIFTH AVENUE, 12TH FL",,(212) 380-7500,US,NY,NEW YORK,10019,"640 FIFTH AVENUE, 12TH FL",,US,DE,834388331.0,CHURCHILL CAPITAL CORP II,20190502.0,4-NON,0,131.0,10-K,20220131.0,2021.0,FY,20220418,2022-04-15 17:49:00.0,0,1,skil-20220131x10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1774675/000155837022005527/0001558370-22-005527.txt
0000892482-22-000012,892482,QUMU CORP,7372.0,US,MN,MINNEAPOLIS,55415,400 SOUTH 4TH STREET,SUITE 401-412,(612) 638-9100,US,MN,MINNEAPOLIS,55415,400 SOUTH 4TH STREET,SUITE 401-412,US,MN,411577970.0,RIMAGE CORP,19930328.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 16:33:00.0,0,1,qumu-20211231_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/892482/000089248222000012/0000892482-22-000012.txt
0001017386-22-000150,1080319,"ELYS GAME TECHNOLOGY, CORP.",7372.0,US,NV,LAS VEGAS,89119,107 E WARM SPRINGS RD.,,39-391-306-4134,CA,ON,TORONTO,M5H 2K4,"130 ADELAIDE STREET, WEST",SUITE 701,US,DE,330823179.0,"NEWGIOCO GROUP, INC.",20160811.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 14:46:00.0,0,1,elys_2021dec31-10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1080319/000101738622000150/0001017386-22-000150.txt
0001213900-22-020167,1376231,"VPR BRANDS, LP.",7372.0,,,,,,,305-537-6607,US,CA,SAN JOSE,95136,787 ADELINE AVE.,,,,900191208.0,SOLEIL CAPITAL L.P.,20100401.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 16:43:00.0,0,1,f10k2021_vprbrands_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1376231/000121390022020167/0001213900-22-020167.txt
0001437749-22-008996,941685,IMAGEWARE SYSTEMS INC,7372.0,US,CA,SAN DIEGO,92127,11440 W. BERNARDO COURT,SUITE 300,8586738600,US,CA,SAN DIEGO,92127,11440 W. BERNARDO COURT,SUITE 300,US,DE,330224167.0,IMAGEWARE SOFTWARE INC,19991123.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-14 20:26:00.0,0,1,iwsy20211231_10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/941685/000143774922008996/0001437749-22-008996.txt
0001437749-22-009043,1535079,MCX TECHNOLOGIES CORP,7372.0,US,ID,BOISE,83701,P.O. BOX 1517,,208-863-6243,US,ID,BOISE,83701,P.O. BOX 1517,,US,CA,260030631.0,"MCORPCX, INC.",20150714.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 16:42:00.0,0,1,mccx20211231_10k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1535079/000143774922009043/0001437749-22-009043.txt
0001493152-22-010031,1454742,"GOOD GAMING, INC.",7372.0,US,PA,KENNETT SQUARE,19348,415 MCFARLAN ROAD,SUITE 108,(888) 295-7279,US,PA,KENNETT SQUARE,19348,415 MCFARLAN ROAD,SUITE 108,US,NV,263988293.0,HDS INTERNATIONAL CORP.,20110629.0,4-NON,0,1231.0,10-K,20211231.0,2021.0,FY,20220415,2022-04-15 11:55:00.0,0,1,form10-k_htm.xml,1,,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,https://www.sec.gov/Archives/edgar/data/1454742/000149315222010031/0001493152-22-010031.txt
